                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.04826,                0.92356,                      1,                0.15085,               0.066672,             3.3331e-06,             3.3331e-06
                      1,                 0.0257,                0.96525,                      1,                0.14109,               0.033342,             6.6599e-06,             6.6599e-06
                      2,                0.01411,                0.97413,                      1,                0.13885,             1.2034e-05,             9.9608e-06,             9.9608e-06
                      3,                 0.0103,                0.98331,                      1,                0.13632,             9.9123e-06,             9.9123e-06,             9.9123e-06
                      4,                0.00888,                0.98438,                      1,                0.13569,             9.9123e-06,             9.9123e-06,             9.9123e-06
                      5,                0.00811,                0.98369,                      1,                0.13551,             9.8445e-06,             9.8445e-06,             9.8445e-06
                      6,                0.00756,                0.98569,                      1,                0.13484,             9.7577e-06,             9.7577e-06,             9.7577e-06
                      7,                0.00715,                0.98694,                      1,                0.13444,             9.6524e-06,             9.6524e-06,             9.6524e-06
                      8,                0.00711,                0.98706,                      1,                0.13421,             9.5289e-06,             9.5289e-06,             9.5289e-06
                      9,                0.00654,                0.98831,                      1,                0.13395,             9.3877e-06,             9.3877e-06,             9.3877e-06
